"Institute Name","Program Name","Seat Capacity","Female Supernumerary","Seat Capacity + Female Supernumerary"
"Indian Institute of Technology (BHU) Varanasi","Electrical Engineering (4 Years, Bachelor of Technology)",108,7,115
"Indian Institute of Technology (BHU) Varanasi","Electronics Engineering (4 Years, Bachelor of Technology)",123,10,133
"Indian Institute of Technology (BHU) Varanasi","Mechanical Engineering (4 Years, Bachelor of Technology)",136,12,148
"Indian Institute of Technology (BHU) Varanasi","Metallurgical Engineering (4 Years, Bachelor of Technology)",102,4,106
"Indian Institute of Technology (BHU) Varanasi","Mining Engineering (4 Years, Bachelor of Technology)",123,8,131
"Indian Institute of Technology (BHU) Varanasi","Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",80,0,80
"Indian Institute of Technology (BHU) Varanasi","Architecture (5 Years, Bachelor of Architecture)",26,0,26
"Indian Institute of Technology (BHU) Varanasi","Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",25,0,25
"Indian Institute of Technology (BHU) Varanasi","Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",20,1,21
"Indian Institute of Technology (BHU) Varanasi","Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",18,2,20
"Indian Institute of Technology (BHU) Varanasi","Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",28,2,30
"Indian Institute of Technology (BHU) Varanasi","Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",31,3,34
"Indian Institute of Technology (BHU) Varanasi","Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",29,1,30
"Indian Institute of Technology (BHU) Varanasi","Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",28,0,28
"Indian Institute of Technology (BHU) Varanasi","Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",30,2,32
"Indian Institute of Technology (BHU) Varanasi","Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",27,1,28
"Indian Institute of Technology (BHU) Varanasi","Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",28,2,30
"Indian Institute of Technology (BHU) Varanasi","Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",52,0,52
"Indian Institute of Technology (BHU) Varanasi","Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",27,1,28
"Indian Institute of Technology (BHU) Varanasi","Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",21,0,21
"Indian Institute of Technology (BHU) Varanasi","Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",21,0,21
"Indian Institute of Technology Guwahati","Chemical Engineering (4 Years, Bachelor of Technology)",87,10,97
"Indian Institute of Technology Guwahati","Chemical Science and Technology (4 Years, Bachelor of Technology)",61,4,65
"Indian Institute of Technology Guwahati","Civil Engineering (4 Years, Bachelor of Technology)",99,18,117
"Indian Institute of Technology Guwahati","Computer Science and Engineering (4 Years, Bachelor of Technology)",99,15,114
"Indian Institute of Technology Guwahati","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",90,14,104
"Indian Institute of Technology Guwahati","Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",52,10,62
