Institute Name,Program Name,2024-25 Seat Capacity,2024-25 Female Supernumerary,12-25-23,2025-26 Seat Capacity,2025-26 Female Supernumerary,12-26-24,Difference
Maulana Azad National Institute of Technology Bhopal,"Chemical Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",31,8,39,28,7,35,-4
Maulana Azad National Institute of Technology Bhopal,"Civil Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",45,12,57,41,10,51,-6
Maulana Azad National Institute of Technology Bhopal,"Civil Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",45,11,56,40,10,50,-6
Maulana Azad National Institute of Technology Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",91,23,114,91,23,114,0
Maulana Azad National Institute of Technology Bhopal,"Computer Science and Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",92,23,115,92,23,115,0
Maulana Azad National Institute of Technology Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",55,13,68,54,12,66,-2
Maulana Azad National Institute of Technology Bhopal,"Electrical Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",54,14,68,54,12,66,-2
Maulana Azad National Institute of Technology Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",69,18,87,69,18,87,0
Maulana Azad National Institute of Technology Bhopal,"Electronics and Communication Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",69,17,86,69,17,86,0
Maulana Azad National Institute of Technology Bhopal,"Energy and Electrical Vehicle Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",0,0,0,12,3,15,15
Maulana Azad National Institute of Technology Bhopal,"Energy and Electrical Vehicle Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",0,0,0,12,3,15,15
Maulana Azad National Institute of Technology Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",31,8,39,29,7,36,-3
Maulana Azad National Institute of Technology Bhopal,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",31,8,39,28,7,35,-4
Maulana Azad National Institute of Technology Bhopal,"Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree)) MADHYA PRADESH",12,3,15,12,3,15,0
Maulana Azad National Institute of Technology Bhopal,"Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree)) Other than MADHYA PRADESH",12,3,15,12,3,15,0
Maulana Azad National Institute of Technology Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology) MADHYA PRADESH",86,21,107,76,16,92,-15
Maulana Azad National Institute of Technology Bhopal,"Mechanical Engineering (4 Years, Bachelor of Technology) Other than MADHYA PRADESH",86,21,107,76,16,92,-15
Maulana Azad National Institute of Technology Bhopal,"Planning (4 Years, Bachelor of Planning) MADHYA PRADESH",21,5,26,21,5,26,0
